Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
77, 2, 4, 당신에 대한 적대감, Activate,  -22.0,  -22.0,    1.0, 0, 2,   -1.0
77, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -11.0,  -11.0,    1.0, 0, 0,    1.0
77, 5, 0, 당신에 대한 첫인상, Update,    0.0
77, 6, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -11.0,  -11.0,    1.0, 0, 0,    1.0
77, 8, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -11.0,  -11.0,    1.0, 0, 0,    1.0
77, 4, 8, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
78, 1, 5, 당신에 대한 첫인상, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
78, 1,  5, 당신에 대한 첫인상, Deactivate
78, 1, 5, 암비오릭스는 자신보다 군사 유닛이 많은 문명을 좋아하고, 적은 문명을 싫어합니다., Activate,    4.0,    4.0,    1.0, 0, 0,    1.0
78, 5, 1, 당신에 대한 첫인상, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
78, 5,  1, 당신에 대한 첫인상, Deactivate
78, 5, 1, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
78, 2, 4, 당신에 대한 적대감, Activate,  -21.0,  -21.0,    1.0, 0, 2,   -1.0
78, 4, 6, 영토가 넓은 제국 존중, Activate,  -13.0,  -13.0,    1.0, 0, 0,    1.0
78, 4, 5, 당신에 대한 첫인상, Update,   -1.0
